,Key variable: unique archived identifier,Rounded dwelling weight for 2 year Physical Survey sample,aagph1516,Tenure with vacancy,tenure4x,tenure2x,vacantx,gorEHS,region3x,govreg1
0,15160010001,1151,1151,owner occupied - occupied,1,1,1,4,1,1
1,15160010005,967,982,private rented - occupied,2,1,1,7,3,4
2,15160010007,925,943,private rented - occupied,2,1,1,5,3,2
3,15160010010,449,455,housing association - occupied,4,2,1,5,3,2
4,15160010011,1368,1495,private rented - occupied,2,1,1,6,3,2
5,15160010016,2028,2028,owner occupied - occupied,1,1,1,5,3,2
6,15160010017,3666,3666,owner occupied - occupied,1,1,1,5,3,2
7,15160010018,1235,1235,owner occupied - occupied,1,1,1,8,2,3
8,15160010019,689,689,housing association - occupied,4,2,1,4,1,1
9,15160010025,2790,2797,owner occupied - occupied,1,1,1,7,3,4
10,15160010026,797,797,local authority - occupied,3,2,1,6,3,2
11,15160010032,324,324,local authority - occupied,3,2,1,4,1,1
12,15160010043,545,545,local authority - occupied,3,2,1,5,3,2
13,15160010044,1493,1745,private rented - occupied,2,1,1,8,2,3
14,15160010062,613,613,housing association - occupied,4,2,1,1,1,1
15,15160010066,1718,1812,private rented - occupied,2,1,1,7,3,4
16,15160010072,947,947,owner occupied - occupied,1,1,1,1,1,1
17,15160010082,718,718,housing association - occupied,4,2,1,10,3,4
18,15160010091,2190,2190,owner occupied - occupied,1,1,1,4,1,1
19,15160010097,858,858,housing association - occupied,4,2,1,9,2,4
20,15160010099,447,447,housing association - occupied,4,2,1,9,2,4
21,15160010101,638,638,housing association - occupied,4,2,1,10,3,4
22,15160010115,3679,3679,owner occupied - occupied,1,1,1,8,2,3
23,15160010117,1128,1128,owner occupied - occupied,1,1,1,10,3,4
24,15160010124,3190,3198,owner occupied - occupied,1,1,1,7,3,4
25,15160010132,3008,3516,private rented - occupied,2,1,1,8,2,3
26,15160010136,1104,1357,private rented - occupied,2,1,1,8,2,3
27,15160010137,1104,1167,private rented - occupied,2,1,1,10,3,4
28,15160010138,322,328,local authority - occupied,3,2,1,9,2,4
29,15160010139,971,971,local authority - occupied,3,2,1,6,3,2
30,15160010144,3484,3484,owner occupied - occupied,1,1,1,2,1,1
31,15160010145,627,627,local authority - occupied,3,2,1,10,3,4
32,15160010152,2047,2047,owner occupied - occupied,1,1,1,2,1,1
33,15160010163,2556,2556,owner occupied - occupied,1,1,1,10,3,4
34,15160010172,2466,2882,private rented - occupied,2,1,1,8,2,3
35,15160010175,3329,3342,owner occupied - occupied,1,1,1,6,3,2
36,15160010182,765,765,local authority - occupied,3,2,1,5,3,2
37,15160010183,1366,1513,private rented - occupied,2,1,1,9,2,4
38,15160010186,428,428,local authority - occupied,3,2,1,1,1,1
